lgcode_iso3,Name,Family,Genus,Macroarea,title,author,year,pages_sum,inlg_iso3,hhtype
hid,Hidatsa,Siouan,Missouri River Siouan,North America,A grammar of Hidatsa,"Park, Indrek ",2012,580,eng,grammar
tow,Jemez,Kiowa-Tanoan,Kiowa-Tanoan,North America,A Phonology and Morphology of Jemez Towa,Yukihiro Yumitani,1998,298,eng,grammar
kyl,Kalapuya,Kalapuyan,Kalapuyan,North America,The Verbal Morphology of Santiam Kalapuya,Jonathan Banks,2007,98,eng,grammar_sketch
zkk,Karankawa,Karankawa,Karankawa,North America,Karankawa Linguistic Materials,Anthony P. Grant,1994,56,eng,grammar_sketch
yak,Klikitat,Penutian,Sahaptian,North America,A grammar of Yakima Ichishkíin/Sahaptin,"Jansen, Joana Worth ",2010,529,eng,grammar
cku,Koasati,Muskogean,Muskogean,North America,Koasati Grammar,Geoffrey D. Kimball,1991,666,eng,grammar
kut,Kutenai,Kutenai,Kutenai,North America,A Description of the Kutenai Language,Lawrence Morgan,1991,566,eng,grammar
miq,Miskito,Misumalpan,Misumalpan,North America,"Langue Mosquito: Grammaire, vocabulaire, textes ",Lucien Adam,1891,134,fra,grammar
hur,Musqueam,Salishan,Central Salish,North America,A Grammar of Chilliwack Halkomelem,"Galloway, Brent Douglas ",1977,722,eng,grammar
ncz,Natchez,Natchez,Natchez,North America,Natchez,Geoffrey Kimball,2005,69,eng,grammar_sketch
nav,Navajo,Na-Dene,Athapaskan,North America,The Navajo Language: A Grammar and Colloquial Dictionary,"Robert W. Young and Morgan, Sr., William ",1987,1521,eng,grammar
ncg,Nisgha,Tsimshianic,Tsimshianic,North America,A Grammar of the Nisgha Language,Marie-Lucie Tarpent,1989,913,eng,grammar
nuk,Nuuchahnulth,Wakashan,Southern Wakashan,North America,Studies in Wakashan (Nootkan) Grammar,Matthew Davidson,2002,488,eng,grammar
oma,Omaha,Siouan,Mississippi Valley Siouan,North America,The Omaha Language and the Omaha Way: An Introduction to Omaha Language and Culture,Mark Awakuni-Swetland and Alberta Grant Canby and Emmaline Walker Sanchez and Rory Larson and Arlene Walker and Delores Black and Aubrey Streit Krug and Loren H. Frerichs,2018,707,eng,grammar
ppl,Pipil,Uto-Aztecan,Aztecan,North America,The Pipil Language of El Salvador,Lyle Campbell,1985,971,eng,grammar
poi,Popoluca (Sierra),Mixe-Zoque,Mixe-Zoque,North America,"A grammar of Sierra Popoluca (Soteapanec, a Mixe-Zoquean language) ","de Jong Boudreault, Lynda J. ",2009,1050,eng,grammar
poc,Poqomam,Mayan,Mayan,North America,Jilotepequeño Pocomam phonology and morphology,"Smith-Stark, Thomas Cedric ",1983,814,eng,grammar
tsz,Purépecha,Tarascan,Tarascan,North America,Description du Purépecha parle sur des isles du lac Patzcuaro (Mexique),"Chamoreau, Claudine ",1998,809,fra,grammar
qui,Quileute,Chimakuan,Chimakuan,North America,Quileute,Manuel J. Andrade,1933-1938,144,eng,grammar
rma,Rama,Chibchan,Rama,North America,A Grammar of Rama,Colette G. Grinevald,no date,284,eng,grammar
ser,Serrano,Uto-Aztecan,Northern Uto-Aztecan,North America,The language of the Kitanemuks of California,"Anderton, Alice Jean ",1988,726,eng,grammar
tkm,Takelma,Takelma,Takelma,North America,The Takelma Language of Southwestern Oregon,Edward Sapir,1909,304,eng,grammar
tee,Tepehua (Huehuetla),Totonacan,Totonacan,North America,A Descriptive Grammar of Huehuetla Tepehua,"Kung, Susan Smythe ",2007,750,eng,grammar
tjm,Timucua,Timucua,Timucua,North America,The Timucua Language,Albert S. Gatschet,"1877, 1878, 1880 ",70,eng,grammar_sketch
tli,Tlingit,Na-Dene,Tlingit,North America,575 Tlingit Verbs: A study of Tlingit Verb Paradigms,Keri M. Eggleston,2013,1351,eng,grammar
jic,Tol,Tol,Tol,North America,Tol (Jicaque),Dennis Holt,1999,60,eng,grammar_sketch
tqw,Tonkawa,Tonkawa,Tonkawa,North America,Tonkawa,"Hoijer, Harry ",1933-1938,148,eng,grammar
tun,Tunica,Tunica,Tunica,North America,Tunica,Mary R. Haas,1941,143,eng,grammar
wao,Wappo,Wappo-Yukian,Wappo,North America,A Grammar of the Wappo Language,Paul Radin,1929,202,eng,grammar
was,Washo,Washo,Washo,North America,A Grammar of the Washo Language,"Jacobsen, Jr., William H. ",1964,701,eng,grammar
yuf,Yavapai,Hokan,Yuman,North America,"Tolkapaya Syntax: Aspect, Modality, and Adverbial Modification in a Yavapai Dialect ","Hardy, Heather Kay ",1979,636,eng,grammar
yuc,Yuchi,Yuchi,Yuchi,North America,A grammar of Euchee (Yuchi),"Linn, Mary Sarah ",2001,564,eng,grammar
esu,Yup'ik (Norton Sound),Eskimo-Aleut,Eskimo,North America,A grammar of Central Alaskan Yupik: An Eskimo Language,Osahito Miyaoka,2012,1709,eng,grammar
yur,Yurok,Algic,Yurok,North America,Basic Yurok grammar,"Garrett, Andrew ",2014,341,eng,grammar
zaa,Zapotec (Juárez),Oto-Manguean,Zapotecan,North America,The morphosyntax of subjects in Macuiltianguis Zapotec,"Foreman, John Olen ",2006,661,eng,grammar
zun,Zuni,Zuni,Zuni,North America,Topics in Zuni Syntax,"Nichols, Lynn ",1997,289,eng,grammar
aau,Abau,Sepik,Abau,Papunesia,Abau grammar,"Lock, Arnold ",2011,495,eng,grammar
abz,Abui,Greater West Bomberai,Alor-Pantar,Papunesia,A Grammar of Abui: A Papuan Language of Alor,František Kratochvíl,2007,560,eng,grammar
kgr,Abun,Abun,Abun,Papunesia,A description of Abun: a West Papuan language of Irian Jaya,Keith Berry and Christine Berry,1999,248,eng,grammar
awi,Aekyom,Kamula-Elevala,Elevala,Papunesia,"Aekyom language write-up: Morphophonemic, phonetic and grammar statements ",Jean Stewart,no date,63,eng,grammar_sketch
amp,Alamblak,Sepik,Sepik Hill,Papunesia,A Grammar of Alamblak (Papua New Guinea),"Bruce, Jr., Leslie P. ",1979,572,eng,grammar
amm,Ama,Left May,Left May,Papunesia,Words in Ama,"Årsjö, Britten ",1999,118,eng,grammar_sketch
aah,Arapesh (Abu),Torricelli,Kombio-Arapesh,Papunesia,"Sociolinguistic Aspects of Abu', a Papuan Language of the Sepik Area, Papua New Guinea ",Otto Nekitel,1985,314,eng,grammar
cns,Asmat,Asmat-Kamrau Bay,Asmat-Kamrau Bay,Papunesia,Grammar of the Asmat Language,Petrus Drabbe,1959,170,eng,grammar
kmn,Awtuw,Sepik,Ram,Papunesia,A grammar of Awtuw,Harry Feldman,1983,395,eng,grammar
bdw,Baham,Greater West Bomberai,West Bomberai,Papunesia,Inflections are Derivations in mBahaam Maaq,Don A.L. Flassy,2002,30,eng,grammar_sketch
bpe,Barupu,Skou,Warapu,Papunesia,"A grammar of Barupu, a language of Papua New Guinea ",Miriam Corris,2005,433,eng,grammar
bvz,Bauzi,Geelvink Bay,Geelvink Bay,Papunesia,Four grammatical marking systems in Bauzi,David Briley,1997,131,eng,grammar
bkl,Berik,Tor-Kwerba,Tor-Orya,Papunesia,A grammatical sketch of Berik,Peter Westrum,1980,87,eng,grammar_sketch
blb,Bilua,Solomons East Papuan,Bilua,Papunesia,"A Grammar of Bilua, a Papuan Language of the Solomon Islands ",Kazuko Obata,2000,391,eng,grammar
ceb,Cebuano,Austronesian,Greater Central Philippine,Papunesia,Cebuano for beginners,"Bunye, Maria V. and Elsa P. Yap ",1971,839,eng,grammar
cha,Chamorro,Austronesian,Chamorro,Papunesia,Chamorro grammar,"Chung, Sandra ",2020,754,eng,grammar
mps,Dadibi,Teberan-Pawaian,Teberan,Papunesia,Dadibi grammar: Morpheme to sentence,"MacDonald, George E. ",1976,234,eng,grammar
dni,Dani (Lower Grand Valley),Trans-New Guinea,Dani,Papunesia,The Grammar of Lower Grand Valley Dani in Discourse Perspective,Myron H. Bromley,1972,652,eng,grammar
kbv,Dla (Menggwa),Senagi,Senagi,Papunesia,The Menggwa Dla language of New Guinea,"de Sousa, Hilário ",2006,569,eng,grammar
duc,Duna,Duna-Bogaya,Duna,Papunesia,An introduction to Duna grammar,"San Roque, Lila ",2008,528,eng,grammar
had,Hatam,Hatim-Mansim,Hatim-Mansim,Papunesia,A Grammar of Hatam: Bird's Head Peninsula Irian Jaya,Ger P. Reesink,1999,230,eng,grammar
ksi,I'saka,Skou,Krisa,Papunesia,I'saka: a sketch grammar of a language of north-central New Guinea,"Donohue, Mark and San Roque, Lila ",2004,148,eng,grammar
tmu,Iau,Lakes Plain,Central Tariku,Papunesia,Grammatical Overview of Iau Revision 3,"Bateman, Janet ",2021,136,eng,grammar_sketch
